Geo Point;Geo Shape;ID_REF_ZDL;GARES_ID;NOM_GARE;NOM_IV;MODE_;TERMINUS;IDREFLIGA;RES_COM;LIGNE_CODE;INDICE_LIG;X;Y
-5.98172169979,-1.36127715811;"{""type"": ""Point"", ""coordinates"": [-1.361277158110557, -5.981721699792429]}";42531;145;CHAMPS-ELYSÉES-CLÉMENCEAU;Champs-Elysées-Clémenceau;METRO;;A01546;METRO 13;METRO 13-101063;13;308.03509086;325.72378666
-5.98183117491,-1.36119673316;"{""type"": ""Point"", ""coordinates"": [-1.361196733164486, -5.981831174909233]}";43407;362;INVALIDES;Invalides;METRO;;A01546;METRO 13;METRO 13-312;13;319.95591555;307.48647625
-5.98122538349,-1.3618059596;"{""type"": ""Point"", ""coordinates"": [-1.361805959595469, -5.981225383492586]}";52354;668;PONT DE LEVALLOIS-BÉCON;Pont de Levallois-Bécon;METRO;METRO 3;A01536;METRO 3;METRO 3-103081;3;227.67754605;409.85970932
-5.98127424657,-1.36175145162;"{""type"": ""Point"", ""coordinates"": [-1.361751451616092, -5.98127424657041]}";42195;16;ANATOLE FRANCE;Anatole France;METRO;;A01536;METRO 3;METRO 3-103079;3;235.98091086;401.55480111
-5.98156354386,-1.36052165619;"{""type"": ""Point"", ""coordinates"": [-1.360521656191302, -5.981563543860238]}";43055;301;GAMBETTA;Gambetta;METRO;;A01536;METRO 3;METRO 3-103037;3;430.51867676;344.34729004
-5.98153842841,-1.363210604;"{""type"": ""Point"", ""coordinates"": [-1.363210603999234, -5.981538428408663]}";59038;1031;VERNON;Vernon;TRAIN;;;GL;GRD LIGNES-480;GL;-0.21446236;372.1978919
-5.98343760961,-1.36308624743;"{""type"": ""Point"", ""coordinates"": [-1.36308624743136, -5.983437609608593]}";411507;1025;CHARTRES;Chartres;TRAIN;;;GL;GRD LIGNES-474;GL;2.8998977;67.07177249
-5.98379370589,-1.36263597251;"{""type"": ""Point"", ""coordinates"": [-1.362635972509446, -5.983793705892897]}";411443;1036;CHATEAUDUN;Chateaudun;TRAIN;;;GL;GRD LIGNES-485;GL;71.91420556;6.07500224
-5.98337559993,-1.3588609106;"{""type"": ""Point"", ""coordinates"": [-1.358860910600832, -5.983375599925913]}";411467;1045;JOIGNY;Joigny;TRAIN;;;GL;GRD LIGNES-494;GL;680.65647787;39.55933433
-5.98343760961,-1.36308624743;"{""type"": ""Point"", ""coordinates"": [-1.36308624743136, -5.983437609608593]}";411501;1028;SAINT-PIAT;Saint-Piat;TRAIN;;;GL;GRD LIGNES-477;GL;2.8998977;67.07177249
-5.98379370589,-1.36263597251;"{""type"": ""Point"", ""coordinates"": [-1.362635972509446, -5.983793705892897]}";411449;1034;VOVES;Voves;TRAIN;;;GL;GRD LIGNES-483;GL;71.91420556;6.07500224
-5.98355824557,-1.36122048682;"{""type"": ""Point"", ""coordinates"": [-1.36122048681939, -5.983558245571206]}";43080;271;ETAMPES;Etampes;RER;;A01840;RER C;RER C-190;C;300.86330761;31.22366098
-5.97984507186,-1.36115146333;"{""type"": ""Point"", ""coordinates"": [-1.361151463326647, -5.979845071864753]}";411317;1020;BEAUVAIS;Beauvais;TRAIN;;;GL;GRD LIGNES-469;GL;344.78877339;625.01630369
-5.98340083785,-1.36241478768;"{""type"": ""Point"", ""coordinates"": [-1.362414787677484, -5.983400837854517]}";47889;839;ST-REMY-LES-CHEVREUSE;St-Remy-les-Chevreuse;RER;RER B;A01857;RER B;RER B-103;B;110.84230065;67.00631899
-5.98223662713,-1.36055791504;"{""type"": ""Point"", ""coordinates"": [-1.360557915035843, -5.982236627133091]}";58493;1105;MARYSE BASTIÉ;Maryse Bastié;TRAM;;A01193;TRAM 3a;TRAM 3a-1318;3A;418.75128431;236.9210803
