Geo Point;station_x;station_y;station_x_untruncated;station_y_untruncated;Geo Shape3;Geo Shape2;ID_REF_ZDL;GARES_ID;NOM_GARE;NOM_IV;MODE_;TERMINUS;IDREFLIGA;RES_COM;LIGNE_CODE;INDICE_LIG;X;Y
;-1,36081;-5,98105;-1,360805847;-5,98104992;"{""type"": ""Point"", ""coordinates"": [-1.360805847192593, -5.981049920332842]}";"{""type"": ""Point"", ""coordinates"": [-1.360805847192593, -5.981049920332842]}";58497;1073;FRONT POPULAIRE;Front Populaire;METRO;METRO 12;A01545;METRO 12;METRO 12-117040;12;389.51691956;429.08565208
;-1,36138;-5,98186;-1,361377332;-5,98185981;"{""type"": ""Point"", ""coordinates"": [-1.361377332034188, -5.98185980984911]}";"{""type"": ""Point"", ""coordinates"": [-1.361377332034188, -5.98185980984911]}";43395;359;IENA;Iena;METRO;;A01542;METRO 9;METRO 9-109045;9;290.75787354;304.50268555
;-1,36143;-5,98171;-1,361426503;-5,98171418;"{""type"": ""Point"", ""coordinates"": [-1.361426502663159, -5.981714179506821]}";"{""type"": ""Point"", ""coordinates"": [-1.361426502663159, -5.981714179506821]}";43498;389;KLEBER;Kleber;METRO;;A01539;METRO 6;METRO 6-106083;6;284.16637325;328.25094156
;-1,3612;-5,98186;-1,361198911;-5,981860194;"{""type"": ""Point"", ""coordinates"": [-1.361198911496408, -5.981860194496742]}";"{""type"": ""Point"", ""coordinates"": [-1.361198911496408, -5.981860194496742]}";43409;425;LA TOUR MAUBOURG;La Tour Maubourg;METRO;;A01541;METRO 8;METRO 8-108033;8;319.34991455;302.86010742
;-1,36149;-5,98212;-1,361485087;-5,982118314;"{""type"": ""Point"", ""coordinates"": [-1.361485087485798, -5.98211831376196]}";"{""type"": ""Point"", ""coordinates"": [-1.361485087485798, -5.98211831376196]}";45430;547;MIRABEAU;Mirabeau;METRO;;A01543;METRO 10;METRO 10-110039;10;271.19998437;264.07609744
;-1,36142;-5,9819;-1,361416347;-5,981898431;"{""type"": ""Point"", ""coordinates"": [-1.361416347183827, -5.981898431212448]}";"{""type"": ""Point"", ""coordinates"": [-1.361416347183827, -5.981898431212448]}";45417;626;PASSY;Passy;METRO;;A01539;METRO 6;METRO 6-106077;6;284.16320649;298.6660419
;-1,3611;-5,98222;-1,361104858;-5,982218934;"{""type"": ""Point"", ""coordinates"": [-1.36110485812866, -5.982218933802776]}";"{""type"": ""Point"", ""coordinates"": [-1.36110485812866, -5.982218933802776]}";45322;656;PLAISANCE;Plaisance;METRO;;A01546;METRO 13;METRO 13-114041;13;331.24893942;244.59954703
;-1,36148;-5,98119;-1,361479224;-5,981193342;"{""type"": ""Point"", ""coordinates"": [-1.361479223640061, -5.981193342015928]}";"{""type"": ""Point"", ""coordinates"": [-1.361479223640061, -5.981193342015928]}";44514;689;PORTE DE CLICHY;Pte de Clichy;METRO;;A01546;METRO 13;METRO 13-442;13;280.32672119;412.09350586
;-1,36065;-5,98203;-1,360651617;-5,982031245;"{""type"": ""Point"", ""coordinates"": [-1.360651617095567, -5.982031244597057]}";"{""type"": ""Point"", ""coordinates"": [-1.360651617095567, -5.982031244597057]}";44582;717;QUAI DE LA GARE;Quai de la Gare;METRO;;A01539;METRO 6;METRO 6-106043;6;405.55121328;270.62912143
;-1,36154;-5,98205;-1,361535415;-5,982044136;"{""type"": ""Point"", ""coordinates"": [-1.361535414803799, -5.98204413622467]}";"{""type"": ""Point"", ""coordinates"": [-1.361535414803799, -5.98204413622467]}";44594;722;RANELAGH;Ranelagh;METRO;;A01542;METRO 9;METRO 9-109037;9;263.79059653;276.39659618
